number,value,datetime_start,datetime_complete,duration,params_CLIP_GRAD,params_DROPOUT,params_HIDDEN_SIZE,params_LEARNING_RATE,params_MOMENTUM_SGD,params_NUM_EPOCHS,params_NUM_LAYERS,params_OPTIMIZER,params_WEIGHT_DECAY,params_WEIGHT_INIT_TYPE,user_attrs_mae,user_attrs_mape,user_attrs_rmse,user_attrs_std_dev,state
74,29.66720199584961,2025-01-16 23:45:56.223061,2025-01-16 23:53:16.636107,0 days 00:07:20.413046,,0.6,40,0.001,0.1,12,8,adamw,0.001,normal,24.69059,40.512615,29.66720199584961,21.604237,COMPLETE
75,16.89051055908203,2025-01-16 23:53:16.636693,2025-01-16 23:54:42.930973,0 days 00:01:26.294280,5.0,0.15000000000000002,20,0.0008,0.4,12,1,adam,0.0001,default,15.919547,28.245842,16.89051055908203,6.1152945,COMPLETE
76,15.84656810760498,2025-01-16 23:54:42.931616,2025-01-16 23:58:24.382821,0 days 00:03:41.451205,0.01,0.6,90,0.005,0.4,18,2,adamw,1e-05,normal,13.727714,23.829859,15.84656810760498,11.918214,COMPLETE
77,57.440547943115234,2025-01-16 23:58:24.383405,2025-01-17 00:08:54.723391,0 days 00:10:30.339986,1.0,0.25,70,0.003,0.4,18,8,sgd,1e-06,normal,53.22284,89.67167,57.440547943115234,21.604235,COMPLETE
78,65.3224105834961,2025-01-17 00:08:54.723973,2025-01-17 00:12:43.829742,0 days 00:03:49.105769,1.0,0.5,80,0.05,0.2,5,9,sgd,0.01,default,61.302925,106.88157,65.3224105834961,25.227318,COMPLETE
79,39.09510040283203,2025-01-17 00:12:43.830397,2025-01-17 00:23:39.784045,0 days 00:10:55.953648,,0.35000000000000003,100,5e-05,0.9,15,10,adam,0.001,he,29.564728,45.103355,39.09510040283203,35.513237,COMPLETE
80,60.020320892333984,2025-01-17 00:23:39.784664,2025-01-17 00:25:08.763013,0 days 00:01:28.978349,0.1,0.30000000000000004,30,0.008,0.30000000000000004,12,1,sgd,1e-05,normal,55.048862,91.95148,60.020320892333984,24.421722,COMPLETE
81,27.87984275817871,2025-01-17 00:25:08.763692,2025-01-17 00:27:29.382809,0 days 00:02:20.619117,0.01,0.35000000000000003,60,0.01,0.7000000000000001,6,5,adamw,0.0,default,24.859621,39.670486,27.87984275817871,12.918947,COMPLETE
82,54.90214920043945,2025-01-17 00:27:29.383395,2025-01-17 00:30:02.420336,0 days 00:02:33.036941,1.0,0.1,50,0.0001,0.6000000000000001,8,4,sgd,0.01,default,50.531937,84.244835,54.90214920043945,21.48345,COMPLETE
83,57.448787689208984,2025-01-17 00:30:02.421015,2025-01-17 00:36:32.161441,0 days 00:06:29.740426,0.001,0.30000000000000004,100,0.003,0.2,16,5,sgd,0.01,normal,53.232075,89.69149,57.448787689208984,21.603529,COMPLETE
84,51.8902587890625,2025-01-17 00:36:32.162030,2025-01-17 00:42:12.777338,0 days 00:05:40.615308,2.0,0.35000000000000003,60,0.008,0.4,18,4,adam,0.001,normal,47.18138,77.10008,51.8902587890625,21.606007,COMPLETE
85,7.55348014831543,2025-01-17 00:42:12.777992,2025-01-17 00:44:23.668579,0 days 00:02:10.890587,0.001,0.05,10,0.008,0.30000000000000004,12,2,adamw,1e-06,he,5.752587,15.419674,7.55348014831543,5.7423415,COMPLETE
86,17.9399471282959,2025-01-17 00:44:23.669185,2025-01-17 00:48:47.928530,0 days 00:04:24.259345,0.5,0.35000000000000003,20,0.008,0.9,18,3,adamw,0.0001,he,14.356795,23.188595,17.9399471282959,14.217527,COMPLETE
87,53.459983825683594,2025-01-17 00:48:47.929187,2025-01-17 00:59:42.637009,0 days 00:10:54.707822,0.5,0.2,60,0.005,0.1,19,8,sgd,0.001,default,48.88853,80.618675,53.459983825683594,21.63144,COMPLETE
88,62.18857192993164,2025-01-17 00:59:42.637670,2025-01-17 01:03:49.750308,0 days 00:04:07.112638,0.001,0.1,10,5e-05,0.0,17,3,adamw,0.0,he,59.64412,109.04238,62.18857192993164,17.606699,COMPLETE
89,57.30303192138672,2025-01-17 01:03:49.750930,2025-01-17 01:09:35.814504,0 days 00:05:46.063574,0.1,0.4,60,0.02,0.30000000000000004,15,5,adam,0.001,normal,53.07443,89.36212,57.30303192138672,21.604235,COMPLETE
90,42.50554275512695,2025-01-17 01:09:35.815136,2025-01-17 01:15:56.491867,0 days 00:06:20.676731,5.0,0.15000000000000002,40,0.0008,0.2,19,4,adam,1e-06,normal,42.1945,82.87007,42.50554275512695,5.1857886,COMPLETE
91,72.11578369140625,2025-01-17 01:15:56.492535,2025-01-17 01:21:22.087764,0 days 00:05:25.595229,0.1,0.0,50,0.02,0.30000000000000004,9,9,adam,1e-05,default,68.6795,164.7333,72.11578369140625,22.000822,COMPLETE
92,57.206748962402344,2025-01-17 01:21:22.088458,2025-01-17 01:30:14.850607,0 days 00:08:52.762149,0.001,0.35000000000000003,40,0.001,0.0,13,9,adam,1e-05,he,52.97094,89.14766,57.206748962402344,21.60304,COMPLETE
93,59.91181945800781,2025-01-17 01:30:14.851188,2025-01-17 01:32:27.156146,0 days 00:02:12.304958,0.5,0.35000000000000003,70,0.0003,0.6000000000000001,11,2,sgd,0.001,normal,55.31915,93.05517,59.91181945800781,23.004744,COMPLETE
94,43.53477096557617,2025-01-17 01:32:27.156873,2025-01-17 01:35:09.778131,0 days 00:02:42.621258,5.0,0.35000000000000003,100,0.0003,0.7000000000000001,16,1,adam,0.01,normal,40.835453,71.59489,43.53477096557617,15.091153,COMPLETE
95,28.661222457885742,2025-01-17 01:35:09.778737,2025-01-17 01:38:20.834944,0 days 00:03:11.056207,,0.05,90,0.003,0.7000000000000001,6,7,adamw,0.0,default,23.897497,40.03078,28.661222457885742,21.623384,COMPLETE
96,46.193973541259766,2025-01-17 01:38:20.835556,2025-01-17 01:44:17.538662,0 days 00:05:56.703106,0.01,0.4,30,0.005,0.5,19,4,sgd,0.0001,default,40.834114,64.1751,46.193973541259766,21.742584,COMPLETE
97,57.06237030029297,2025-01-17 01:44:17.539302,2025-01-17 01:50:59.959414,0 days 00:06:42.420112,0.001,0.55,80,5e-05,0.30000000000000004,18,4,sgd,0.0,default,52.791363,88.767365,57.06237030029297,21.66074,COMPLETE
98,17.056785583496094,2025-01-17 01:50:59.960017,2025-01-17 01:54:38.342919,0 days 00:03:38.382902,0.001,0.5,20,0.0003,0.5,15,3,adamw,0.01,he,14.378674,24.558636,17.056785583496094,11.674888,COMPLETE
99,32.20970153808594,2025-01-17 01:54:38.343547,2025-01-17 01:58:19.509542,0 days 00:03:41.165995,0.01,0.45,20,0.0005,0.0,15,3,adam,0.0,default,30.488474,52.590076,32.20970153808594,10.407946,COMPLETE
